poliza_id,policy_number,poliza_renovacion,cartera_renovaciones,count_items,issue
200637,4308007404083000,1,[np.int64(0)],1,renovacion_mismatch
200638,4308007404021000,1,[np.int64(0)],1,renovacion_mismatch
200640,4308007402821000,1,[np.int64(0)],1,renovacion_mismatch
200642,4308007480866000,1,[np.int64(0)],1,renovacion_mismatch
200643,4308007480510000,2,[np.int64(0)],1,renovacion_mismatch
200650,4308007475817000,1,[np.int64(0)],1,renovacion_mismatch
200653,4308007400543000,1,[np.int64(0)],1,renovacion_mismatch
200654,4308007400416000,1,[np.int64(0)],1,renovacion_mismatch
200655,4308007401038000,1,[np.int64(0)],1,renovacion_mismatch
200657,101000545-1,2,[np.int64(0)],1,renovacion_mismatch
200658,101000343-3,5,[np.int64(0)],1,renovacion_mismatch
200661,4308007469631000,2,[np.int64(0)],1,renovacion_mismatch
200662,4308007400358000,1,[np.int64(0)],1,renovacion_mismatch
200668,4308007462613000,2,[np.int64(0)],1,renovacion_mismatch
200669,4308007463659000,1,[np.int64(0)],1,renovacion_mismatch
200676,1000130,1,[np.int64(0)],1,renovacion_mismatch
200677,4308007460026000,2,[np.int64(0)],1,renovacion_mismatch
200678,4308007459924000,3,[np.int64(0)],1,renovacion_mismatch
200683,94611924,1,[np.int64(0)],1,renovacion_mismatch
200685,14289416132770,2,[np.int64(0)],1,renovacion_mismatch
200691,4308007458227000,1,[np.int64(0)],1,renovacion_mismatch
200694,4308007459399000,2,[np.int64(0)],1,renovacion_mismatch
200697,94565779,1,[np.int64(0)],1,renovacion_mismatch
200698,3016459,5,[np.int64(0)],3,renovacion_mismatch
200704,1408004227056000,1,[np.int64(0)],1,renovacion_mismatch
200707,4308007425451000,1,[np.int64(0)],1,renovacion_mismatch
200708,4308007446046000,1,[np.int64(0)],1,renovacion_mismatch
200716,101007849,1,[np.int64(0)],1,renovacion_mismatch
200718,94525582,2,[np.int64(0)],1,renovacion_mismatch
200723,4308007443162000,1,[np.int64(0)],1,renovacion_mismatch
200726,10565200519450,4,[np.int64(0)],1,renovacion_mismatch
200728,4308007429947000,1,[np.int64(0)],1,renovacion_mismatch
200729,4308007436651000,1,[np.int64(0)],1,renovacion_mismatch
200731,4308007436137000,3,[np.int64(0)],1,renovacion_mismatch
200733,4308007435931000,2,[np.int64(0)],1,renovacion_mismatch
200737,4308007430870000,1,[np.int64(0)],1,renovacion_mismatch
200738,4308007430914000,1,[np.int64(0)],1,renovacion_mismatch
200739,101003293-3,3,[np.int64(0)],5,renovacion_mismatch
200741,3016356,5,[np.int64(0)],1,renovacion_mismatch
200742,AB000357,2,[np.int64(0)],1,renovacion_mismatch
200747,4308007422942000,2,[np.int64(0)],1,renovacion_mismatch
200748,4308007423171000,1,[np.int64(0)],1,renovacion_mismatch
200749,10565200516070,1,[np.int64(0)],1,renovacion_mismatch
200751,4308007425181000,1,[np.int64(0)],1,renovacion_mismatch
200755,430800743364000,1,[np.int64(0)],1,renovacion_mismatch
200757,101007799,5,[np.int64(0)],5,renovacion_mismatch
200764,4308007423658000,1,[np.int64(0)],1,renovacion_mismatch
200765,4308007422750000,1,[np.int64(0)],1,renovacion_mismatch
200766,10565200514000,3,[np.int64(0)],1,renovacion_mismatch
200767,10565200513990,4,[np.int64(0)],1,renovacion_mismatch
200771,PE264063,1,[np.int64(0)],2,renovacion_mismatch
200772,1000142,2,[np.int64(0)],1,renovacion_mismatch
200773,2050330796903,3,[np.int64(0)],1,renovacion_mismatch
200777,94161633,2,[np.int64(0)],1,renovacion_mismatch
200779,4308007409240000,1,[np.int64(0)],1,renovacion_mismatch
200781,94166167,1,[np.int64(0)],1,renovacion_mismatch
200786,4308007403729000,1,[np.int64(0)],1,renovacion_mismatch
200788,4308007403161000,3,[np.int64(0)],1,renovacion_mismatch
200789,4308007403470000,1,[np.int64(0)],1,renovacion_mismatch
200790,4308007403465000,1,[np.int64(0)],1,renovacion_mismatch
200791,4308007403618000,1,[np.int64(0)],1,renovacion_mismatch
200794,4308007406800000,1,[np.int64(0)],1,renovacion_mismatch
200795,AB000269,1,[np.int64(0)],1,renovacion_mismatch
200796,4308007379524000,1,[np.int64(0)],1,renovacion_mismatch
200797,4308007397632000,1,[np.int64(0)],1,renovacion_mismatch
200800,4308007397897000,1,[np.int64(0)],1,renovacion_mismatch
200802,4308007398188000,1,[np.int64(0)],1,renovacion_mismatch
200803,4308007400171000,1,[np.int64(0)],1,renovacion_mismatch
200804,1408004225900000,3,[np.int64(0)],1,renovacion_mismatch
200806,4308007393059000,1,[np.int64(0)],1,renovacion_mismatch
200807,430800739311000,1,[np.int64(0)],1,renovacion_mismatch
200808,94129529,1,[np.int64(0)],1,renovacion_mismatch
200809,94128838,1,[np.int64(0)],1,renovacion_mismatch
200810,94127189,1,[np.int64(0)],1,renovacion_mismatch
200812,4308007396170000,1,[np.int64(0)],1,renovacion_mismatch
200814,4308007396702000,1,[np.int64(0)],1,renovacion_mismatch
200815,430800739732900,1,[np.int64(0)],1,renovacion_mismatch
200817,4308007392553000,1,[np.int64(0)],1,renovacion_mismatch
200819,4308007393541000,1,[np.int64(0)],1,renovacion_mismatch
200820,4308007393648000,1,[np.int64(0)],1,renovacion_mismatch
200825,4308007392810000,2,[np.int64(0)],1,renovacion_mismatch
200826,10565200512050,1,[np.int64(0)],1,renovacion_mismatch
200827,10565200512060,1,[np.int64(0)],1,renovacion_mismatch
200828,10565200512070,4,[np.int64(0)],1,renovacion_mismatch
200831,4308007393579000,6,[np.int64(0)],1,renovacion_mismatch
200832,4308007393415000,6,[np.int64(0)],1,renovacion_mismatch
200833,94126724,6,[np.int64(0)],1,renovacion_mismatch
200835,4308007393042000,3,[np.int64(0)],1,renovacion_mismatch
200838,43080073949444000,1,[np.int64(0)],1,renovacion_mismatch
200839,4308007397498000,1,[np.int64(0)],1,renovacion_mismatch
200840,4308007397273000,1,[np.int64(0)],1,renovacion_mismatch
200842,1000000144-16,5,[np.int64(0)],1,renovacion_mismatch
200843,4308007397029000,1,[np.int64(0)],1,renovacion_mismatch
200844,4308007396338000,1,[np.int64(0)],1,renovacion_mismatch
200846,2000668524,3,[np.int64(0)],9,renovacion_mismatch
200847,2000668525,2,[np.int64(0)],11,renovacion_mismatch
200848,2000667772,2,[np.int64(0)],8,renovacion_mismatch
200849,4308007390927000,1,[np.int64(0)],1,renovacion_mismatch
200850,4308007390902000,1,[np.int64(0)],1,renovacion_mismatch
200852,4308007390294000,1,[np.int64(0)],1,renovacion_mismatch
200857,4308007386433000,1,[np.int64(0)],1,renovacion_mismatch
200860,43080073388340000,1,[np.int64(0)],1,renovacion_mismatch
200863,4308007388572000,1,[np.int64(0)],1,renovacion_mismatch
200864,4308007388570000,1,[np.int64(0)],1,renovacion_mismatch
200865,43080073989130000,2,[np.int64(0)],1,renovacion_mismatch
200866,430800738510000,1,[np.int64(0)],1,renovacion_mismatch
200868,4308007385673000,1,[np.int64(0)],1,renovacion_mismatch
200869,4308007385203000,1,[np.int64(0)],1,renovacion_mismatch
200872,1000272-55,5,[np.int64(0)],3,renovacion_mismatch
200873,4308007387221000,3,[np.int64(0)],1,renovacion_mismatch
200874,4308007387433000,2,[np.int64(0)],1,renovacion_mismatch
200882,4308007385846000,1,[np.int64(0)],1,renovacion_mismatch
200896,1408004225436000,4,[np.int64(0)],1,renovacion_mismatch
200897,1408004225435000,4,[np.int64(0)],1,renovacion_mismatch
200898,1408004225437000,1,[np.int64(0)],1,renovacion_mismatch
200900,4308007377375000,1,[np.int64(0)],1,renovacion_mismatch
200902,94036591,2,[np.int64(0)],1,renovacion_mismatch
200905,4308007377706000,1,[np.int64(0)],1,renovacion_mismatch
200907,4308007373882000,1,[np.int64(0)],1,renovacion_mismatch
200908,4308007374360000,1,[np.int64(0)],1,renovacion_mismatch
200909,4308007374453000,1,[np.int64(0)],1,renovacion_mismatch
200911,4308007375744000,1,[np.int64(0)],1,renovacion_mismatch
200913,105652005087000,1,[np.int64(0)],1,renovacion_mismatch
200915,1408004225434000,3,[np.int64(0)],1,renovacion_mismatch
200923,4308007374132000,3,[np.int64(0)],1,renovacion_mismatch
200925,94026177,2,[np.int64(0)],1,renovacion_mismatch
200926,10565200508340,1,[np.int64(0)],1,renovacion_mismatch
200927,4308007372342000,1,[np.int64(0)],1,renovacion_mismatch
200930,4308007372246000,2,[np.int64(0)],1,renovacion_mismatch
200932,4308007372417000,1,[np.int64(0)],1,renovacion_mismatch
200934,93658679,1,[np.int64(0)],1,renovacion_mismatch
200935,2000472227,1,[np.int64(0)],15,renovacion_mismatch
200942,430800370367000,1,[np.int64(0)],1,renovacion_mismatch
200949,4308007365872000,1,[np.int64(0)],1,renovacion_mismatch
200953,4308007367305000,1,[np.int64(0)],1,renovacion_mismatch
200954,4308007367307000,1,[np.int64(0)],1,renovacion_mismatch
200965,4308007366464000,1,[np.int64(0)],1,renovacion_mismatch
200967,4308007363841000,1,[np.int64(0)],1,renovacion_mismatch
200968,4308007363981000,1,[np.int64(0)],1,renovacion_mismatch
200969,4308007364374000,1,[np.int64(0)],1,renovacion_mismatch
200976,4308007365067000,2,[np.int64(0)],1,renovacion_mismatch
200977,4308007364958000,1,[np.int64(0)],1,renovacion_mismatch
200981,94014191,1,[np.int64(0)],1,renovacion_mismatch
200986,4308007359163000,1,[np.int64(0)],1,renovacion_mismatch
200988,4308007359058000,1,[np.int64(0)],1,renovacion_mismatch
200989,4308007360332000,1,[np.int64(0)],1,renovacion_mismatch
200991,4308007360608000,1,[np.int64(0)],1,renovacion_mismatch
200995,1000004771,2,[np.int64(0)],4,renovacion_mismatch
201002,1000118,2,[np.int64(0)],10,renovacion_mismatch
201003,4308007359089000,1,[np.int64(0)],1,renovacion_mismatch
201008,4308007356534000,1,[np.int64(0)],1,renovacion_mismatch
201009,93881906,1,[np.int64(0)],1,renovacion_mismatch
201011,4308007356458000,1,[np.int64(0)],1,renovacion_mismatch
201012,4308007356828000,1,[np.int64(0)],1,renovacion_mismatch
201013,93881145,1,[np.int64(0)],1,renovacion_mismatch
201017,93875887,1,[np.int64(0)],1,renovacion_mismatch
201020,93876797,1,[np.int64(0)],1,renovacion_mismatch
201022,4308007357856000,1,[np.int64(0)],1,renovacion_mismatch
201023,4308007359041000,3,[np.int64(0)],1,renovacion_mismatch
201025,108004225081000,1,[np.int64(0)],1,renovacion_mismatch
201027,4308007353513000,1,[np.int64(0)],1,renovacion_mismatch
201036,93867757,1,[np.int64(0)],1,renovacion_mismatch
201037,93870938,1,[np.int64(0)],1,renovacion_mismatch
201038,93870041,1,[np.int64(0)],1,renovacion_mismatch
201039,4308007351323000,1,[np.int64(0)],1,renovacion_mismatch
201040,4308007351476000,1,[np.int64(0)],1,renovacion_mismatch
201041,4308007351048000,1,[np.int64(0)],1,renovacion_mismatch
201043,93669880,1,[np.int64(0)],1,renovacion_mismatch
201045,93869793,1,[np.int64(0)],1,renovacion_mismatch
201051,4308007351620000,1,[np.int64(0)],1,renovacion_mismatch
201054,4308007350067000,2,[np.int64(0)],1,renovacion_mismatch
201055,4308007350299000,1,[np.int64(0)],1,renovacion_mismatch
201062,93862411,1,[np.int64(0)],1,renovacion_mismatch
201066,9358519,1,[np.int64(0)],1,renovacion_mismatch
201067,AB000189,1,[np.int64(0)],4,renovacion_mismatch
201071,4308007347311000,1,[np.int64(0)],1,renovacion_mismatch
201073,4308007346653000,1,[np.int64(0)],1,renovacion_mismatch
201074,4308007348178000,1,[np.int64(0)],1,renovacion_mismatch
201076,4308007343363000,1,[np.int64(0)],1,renovacion_mismatch
201077,4308007343411000,1,[np.int64(0)],1,renovacion_mismatch
201080,4308007344608000,1,[np.int64(0)],1,renovacion_mismatch
201084,4308007345143000,2,[np.int64(0)],1,renovacion_mismatch
201085,93857425,1,[np.int64(0)],1,renovacion_mismatch
201086,4308007339748000,1,[np.int64(0)],1,renovacion_mismatch
201092,4308007338676000,1,[np.int64(0)],1,renovacion_mismatch
201094,4308007343422000,1,[np.int64(0)],1,renovacion_mismatch
201098,4308007341523000,1,[np.int64(0)],1,renovacion_mismatch
201100,4308007341279000,1,[np.int64(0)],1,renovacion_mismatch
201101,4308007339954000,1,[np.int64(0)],1,renovacion_mismatch
201104,4308007339845000,2,[np.int64(0)],1,renovacion_mismatch
201106,93840336,2,[np.int64(0)],1,renovacion_mismatch
201109,4308007340608000,2,[np.int64(0)],1,renovacion_mismatch
201110,4308007340550000,1,[np.int64(0)],1,renovacion_mismatch
201111,4308007339739000,2,[np.int64(0)],1,renovacion_mismatch
201113,10565200505100,1,[np.int64(0)],1,renovacion_mismatch
201115,10565200505110,7,[np.int64(0)],1,renovacion_mismatch
201116,43080O7332005000,1,[np.int64(0)],1,renovacion_mismatch
201117,4308007337448000,1,[np.int64(0)],1,renovacion_mismatch
201118,4308007337316000,2,[np.int64(0)],1,renovacion_mismatch
201120,4308007337283000,1,[np.int64(0)],1,renovacion_mismatch
201123,4308007337726000,1,[np.int64(0)],1,renovacion_mismatch
201125,AA005647,3,[np.int64(0)],7,renovacion_mismatch
201126,4308007335538000,1,[np.int64(0)],1,renovacion_mismatch
201129,4308007335965000,1,[np.int64(0)],1,renovacion_mismatch
201132,14289415511080,1,[np.int64(0)],1,renovacion_mismatch
201136,93836517,2,[np.int64(0)],1,renovacion_mismatch
201137,14289415510670,6,[np.int64(0)],1,renovacion_mismatch
201138,4308007334123000,1,[np.int64(0)],1,renovacion_mismatch
201139,93833429,2,[np.int64(0)],2,renovacion_mismatch
201143,4308007334320000,1,[np.int64(0)],1,renovacion_mismatch
201144,4308007334693000,1,[np.int64(0)],1,renovacion_mismatch
201145,4308007335339000,1,[np.int64(0)],1,renovacion_mismatch
201146,4308007331655000,1,[np.int64(0)],1,renovacion_mismatch
201147,4308007331823000,1,[np.int64(0)],1,renovacion_mismatch
201148,4308007331927000,1,[np.int64(0)],1,renovacion_mismatch
201149,4308007332000000,1,[np.int64(0)],1,renovacion_mismatch
201151,101000902-2,4,[np.int64(0)],1,renovacion_mismatch
201152,101000917-2,4,[np.int64(0)],1,renovacion_mismatch
201153,4308007336086000,1,[np.int64(0)],1,renovacion_mismatch
201154,4308007335320000,2,[np.int64(0)],1,renovacion_mismatch
201155,93835459,1,[np.int64(0)],1,renovacion_mismatch
201161,4308007329526000,1,[np.int64(0)],1,renovacion_mismatch
201162,4308007331212000,2,[np.int64(0)],1,renovacion_mismatch
201163,4308007330766000,1,[np.int64(0)],1,renovacion_mismatch
201164,4308007330976000,1,[np.int64(0)],1,renovacion_mismatch
201165,4308007331052000,1,[np.int64(0)],1,renovacion_mismatch
201167,105000250,5,[np.int64(0)],1,renovacion_mismatch
201168,93613298  NR,1,[np.int64(0)],1,renovacion_mismatch
201172,4308007328822000,2,[np.int64(0)],1,renovacion_mismatch
201174,4308007327218000,2,[np.int64(0)],1,renovacion_mismatch
201176,4308007322937000,1,[np.int64(0)],1,renovacion_mismatch
201177,4308007324930000,1,[np.int64(0)],1,renovacion_mismatch
201181,4308007323396000,1,[np.int64(0)],1,renovacion_mismatch
201182,4308007323411000,1,[np.int64(0)],1,renovacion_mismatch
201187,4308007320540000,1,[np.int64(0)],1,renovacion_mismatch
201189,4308007324079000,1,[np.int64(0)],1,renovacion_mismatch
201191,4308007324099000,1,[np.int64(0)],1,renovacion_mismatch
201193,4308007324148000,2,[np.int64(0)],1,renovacion_mismatch
201194,4308007320977000,2,[np.int64(0)],1,renovacion_mismatch
201195,4308007323865000,1,[np.int64(0)],1,renovacion_mismatch
201196,4308007320229000,1,[np.int64(0)],1,renovacion_mismatch
201197,4308007320048000,1,[np.int64(0)],1,renovacion_mismatch
201198,4308007320069000,1,[np.int64(0)],1,renovacion_mismatch
201200,4308007320044000,1,[np.int64(0)],1,renovacion_mismatch
201204,4308007319726000,2,[np.int64(0)],1,renovacion_mismatch
201205,4308007320243000,1,[np.int64(0)],1,renovacion_mismatch
201211,1000125,2,[np.int64(0)],1,renovacion_mismatch
201212,4308007319412000,2,[np.int64(0)],1,renovacion_mismatch
201213,93618129,1,[np.int64(0)],1,renovacion_mismatch
201214,4308007320410000,1,[np.int64(0)],1,renovacion_mismatch
201217,93608964,1,[np.int64(0)],1,renovacion_mismatch
201218,10565200502680,1,[np.int64(0)],1,renovacion_mismatch
201220,4308007317261000,1,[np.int64(0)],1,renovacion_mismatch
201222,4308007317444000,1,[np.int64(0)],1,renovacion_mismatch
201224,4308007317734000,2,[np.int64(0)],1,renovacion_mismatch
201225,4308007318190000,1,[np.int64(0)],1,renovacion_mismatch
201228,4308007315713000,1,[np.int64(0)],1,renovacion_mismatch
201231,4308007314509000,1,[np.int64(0)],1,renovacion_mismatch
201232,93606668,1,[np.int64(0)],1,renovacion_mismatch
201233,93607370,1,[np.int64(0)],1,renovacion_mismatch
